impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-175902,A723279,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901034,LOST,Moncho,Dog,Over 1 year<p/>,Male,Chihuahua - Smooth Coated,Black,"Jan 27, 2025",Date Lost,8400 block of  PIPELINE RD E,TACO,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901034,Image Copyright HLP Inc. 2025,"Description: He’s old and has long hair around his next. His fur is black, brown and tanish. He was last seen wearing a black puff jacket. His snout is all white, he’s neutered. Weighs 10 pounds. <p/>Age: Over 1 year<p/>Location Lost: 8491 Pipeline Rd E, Tacoma, WA , Tacoma WA  98443<p/>Lost Date: 2025-01-27<p/>",
K25-176725,A724842,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724842,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,3 YEARS,Male,Alaskan Husky / German Shepherd,White,"Mar 02, 2025",Received on,37500 block of  SE WINERY RD,SNOQUALMIE,WA,98065,SNOQUALMIE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724842,Image Copyright HLP Inc. 2025,"Received on: 2025-03-02<p/> Found Near: 37500 block of  SE WINERY RD<p/> Description: White Male Alaskan Husky / German Shepherd Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176206,A714896,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Shiso,Dog,5 YEARS 6 MONTHS,Neutered Male,German Shepherd / Mix,Tricolor,"Aug 25, 2024",Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A714896,Image Copyright HLP Inc. 2025,"Received on: 2024-08-25<p/> Description: Tricolor Neutered Male German Shepherd / Mix Dog<p/> Age: 5 YEARS 6 MONTHS<p/> Adoption Fee: $50<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Shiso and I am available for adoption.<p/><p/>I was brought in by a good samaritan on August 25, 2024.<p/><p/>I weigh 55.0 lbs and am considered a ""large breed"" dog.<p/><p/>My caregivers mention that I was well on leash!<p/><p/>I am motivated by many things like toys, treats and people! I will happily ""sit"" and ""shake"" for all of them :)<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",
K25-176501,A724443,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909674,LOST,Chubby,Cat,Over 1 year<p/>,Male,European Shorthair,Unknown,"Feb 17, 2025",Date Lost,12200 block of  SE 61ST ST AND 123RD AVE SE. BELLEVUE WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909674,Image Copyright HLP Inc. 2025,"Description: Gray striped tabby soft fur  social around people and food orientated.  Dislikes other cats.  Will hiss at animals or humans when displeased<p/>Age: Over 1 year<p/>Location Lost: 12229 se 61st st and 123rd ave se. Bellevue wa , Bellevue WA  98006<p/>Lost Date: 2025-02-17<p/>",
K25-176423,A724305,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2908628,LOST,Ghost,Dog,Over 1 year<p/>,Male,Pit Bull,White,"Jan 30, 2025",Date Lost,JOHNSON  RD AND BALD HILLS,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2908628,Image Copyright HLP Inc. 2025,"Description: Ghost is white with faint spots on body due to being mixed Pit/Dalmatian has a black spot on his tail and spots on his ears. Faint spots on his body. <p/>Age: Over 1 year<p/>Location Lost: Johnson Rd and Bald Hills, Yelm WA  98597<p/>Lost Date: 2025-01-30<p/>",
K25-176369,A723342,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A723342,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Thorin,Barn Cat,3 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Black,"Feb 16, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A723342,Image Copyright HLP Inc. 2025,"Received on: 2025-02-16<p/> Description: Black<p/>  Neutered Male Domestic Shorthair Barn Cat<p/> Age: 3 YEARS 1 MONTH<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Thorin and I am available for adoption!<p/><p/>I am currently at an offsite location looking for my forever family! <p/><p/>Adoptions at partner stores are coordinated on a ""first-come, first-served"" basis. It is recommended that you call the offsite location before going to the store in case the animal is in the process of being adopted or already adopted. Delays on the profile being removed from the website after adoption is to be expected. <p/><p/>",
K25-176638,A724686,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911456,LOST,Kitten,Cat,Over 1 year<p/>,Male,Maine Coon,Black,"Feb 21, 2025",Date Lost,WEST  VALLEY HWY S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911456,Image Copyright HLP Inc. 2025,"Description: Tuxedo cat with a limp on his back leg he's 20 years old<p/>Age: Over 1 year<p/>Location Lost: West valley hwy s, Auburn WA  98001<p/>Lost Date: 2025-02-21<p/>",
K25-175883,A723242,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A723242,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bruce,Dog,1 YEAR 1 MONTH,Neutered Male,Black Mouth Cur / Mix,Tan,"Jan 27, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A723242,Image Copyright HLP Inc. 2025,"Received on: 2025-01-27<p/> Description: Tan<p/>  Neutered Male Black Mouth Cur / Mix Dog<p/> Age: 1 YEAR 1 MONTH<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Bruce, and I'm available for adoption!<p/><p/>Are you someone who loves to run, jog, or play ball? Then I might just be your perfect match! I'm an energetic, playful guy who enjoys running, fetching, and getting out and about. Whether it's playing ball in the yard or going on adventures, I’m always ready to join you!<p/><p/>I'm a smart and eager-to-please dog, and I'm food motivated, which makes training a breeze. I already know how to `sit`, and with a little guidance, I’ll learn even more tricks and manners.<p/><p/>At 63 lbs, I’m considered a large breed, and I have the stamina and enthusiasm to match! I thrive on exercise, so I would do best in an active household. Hiking? Count me in! I’d make an excellent hiking partner.<p/><p/>Though I'm full of fun and affection, I’m still working on my manners. I’d love to join a family that is willing to help me become the best dog I can be.<p/><p/>If you're ready for an energetic, loving, and spirited companion, then I'm your guy. Let’s go play and explore together!<p/><p/><p/>",
K25-176715,A724824,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2912681,In Public Home,,Dog,Over 1 year<p/>,Male,German Shepherd,Brown,"Feb 26, 2025",Date Found,"PACIFIC  HIGHWAY AND S 240TH ST, KENT",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2912681,Image Copyright HLP Inc. 2025,"Description: Young male German Shepherd mix, had a collar and leash when Found. <p/>Age: Over 1 year<p/>Found Near: Pacific highway and S  240th st, Kent, Kent WA  98032<p/>Found Date: 2025-02-26<p/>",
K25-176043,A723626,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903175,LOST,Tyson,Dog,Over 1 year<p/>,Male,Jack Russell Terrier,Brown,"Feb 03, 2025",Date Lost,11000 block of  SE KENT KANGLEY RD,Kent,,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903175,Image Copyright HLP Inc. 2025,"Description: He ran out the door no collar unfortunately.  He's medium size brown and white dog  jack Russell and poodle mix<p/>Age: Over 1 year<p/>Location Lost: 11020 SE KENT KANGLEY RD, Bb209, Kent WA  98030<p/>Lost Date: 2025-02-03<p/>",
K25-176624,A724659,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Dog,NO AGE,Female,Chihuahua - Smooth Coated,Br Brindle,"Feb 26, 2025",Received on,4700 block of  S 272ND ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724659,Image Copyright HLP Inc. 2025,Received on: 2025-02-26<p/> Found Near: 4700 block of  S 272ND ST<p/> Description: Br Brindle Female Chihuahua - Smooth Coated Dog<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>,
K25-176478,A724398,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Dog,NO AGE,Unknown,German Shepherd / Mix,Black / Brown,"Feb 20, 2025",Received on,7700 block of  S 259TH ST,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2025,Received on: 2025-02-20<p/> Found Near: 7700 block of  S 259TH ST<p/> Description: Black / Brown Unknown German Shepherd / Mix Dog<p/> Age: NO AGE<p/>,
K25-176400,A724271,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724271,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Capone,Dog,7 MONTHS,Neutered Male,Pit Bull,Brown / White,"Feb 18, 2025",Received on,7000 block of  S 120TH PL,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724271,Image Copyright HLP Inc. 2025,"Received on: 2025-02-18<p/> Found Near: 7000 block of  S 120TH PL<p/> Description: Brown / White Neutered Male Pit Bull Dog<p/> Age: 7 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176346,A724156,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907388,In Public Home,,Dog,Over 1 year<p/>,Male,Golden Retriever,Unknown,"Feb 15, 2025",Date Found,NE  12th Pl & 220th Pl NE,Sammamish,,98074,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907388,Image Copyright HLP Inc. 2025,"Description: Dark gold Golden Retriever with a black tactical style collar and no tags or microchip Found.<p/>Age: Over 1 year<p/>Found Near: NE 12th and 220th Pl NE, Sammamish WA  98074<p/>Found Date: 2025-02-15<p/>",
K25-175879,A723210,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2900695,LOST,Lucyfurr Dak,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Unknown,"Jan 21, 2025",Date Lost,12000 block of  44TH AVE S,Tukwila,,98178,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2900695,Image Copyright HLP Inc. 2025,"Description: UNIQUE CURLED BACK EARS- BLACK AND WHITE<p/>Age: Over 1 year<p/>Location Lost: 12049 44TH AVE S, Seattle WA  98178<p/>Lost Date: 2025-01-21<p/>",
K25-176374,A724198,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907766,In Public Home,,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"Feb 15, 2025",Date Found,SE  Auburn Black Diamond Rd & SE 328th Pl,King County,,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907766,Image Copyright HLP Inc. 2025,"Description: Calico with mainly black and orange markings. Very little white. <p/>Age: Over 1 year<p/>Found Near: Auburn Black Diamond Rd and 328th Pl., Auburn WA  98092<p/>Found Date: 2025-02-15<p/>",
K25-176517,A724466,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909964,In Public Home,,Dog,Unknown<p/>,Male,Alaskan Husky,Unknown,"Feb 22, 2025",Date Found,300 block of  S St SE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909964,Image Copyright HLP Inc. 2025,"Description: Huskie, white and orange/brown, male, metal collar, part of blue ribbon leash<p/>Age: Unknown<p/>Found Near: 241st Ave SE, Issaquah WA  98029<p/>Found Date: 2025-02-22<p/>",
K25-176617,A724645,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911194,LOST,Gus,Cat,Over 1 year<p/>,Male,Domestic Longhair,Unknown,"Feb 25, 2025",Date Lost,Corson  Ave S & S Eddy St,Seattle,,98108,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911194,Image Copyright HLP Inc. 2025,"Description: Grey tabby very shy. Large about 12 pounds. <p/>Age: Over 1 year<p/>Location Lost: Corson and S Eddy St, Seattle WA  98108<p/>Lost Date: 2025-02-25<p/>",
K25-176319,A724103,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907003,LOST,Sky,Cat,Under 1 year<p/>,Female,Birman,White,"Feb 09, 2025",Date Lost,Kent  Black Diamond Rd SE & 156th Ave SE,King County,,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907003,Image Copyright HLP Inc. 2025,"Description: White cat with orange ears and tail and Blue eyes.  <p/>Age: Under 1 year<p/>Location Lost: Kent black diamond and 156th Ave SE, Kent WA  98042<p/>Lost Date: 2025-02-09<p/>",
K25-176616,A724644,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911192,LOST,Marvin,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Feb 16, 2025",Date Lost,SOUTH  117TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911192,Image Copyright HLP Inc. 2025,"<p/>Age: Over 1 year<p/>Location Lost: South 117th  street , Seattle WA  98178<p/>Lost Date: 2025-02-16<p/>",
K25-176656,A724732,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911838,In Public Home,Sarah,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Feb 27, 2025",Date Found,300 block of  S St SE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911838,Image Copyright HLP Inc. 2025,"Description: Tuxedo color - young un-altered male. Maybe 16months.   Has been spotted in the area for weeks.   Initially skittish but friendly once fed.<p/>Age: Over 1 year<p/>Found Near: 15th ave S. & Hanford, Seattle WA  98144<p/>Found Date: 2025-02-27<p/>",
K25-176698,A724002,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Asher,Dog,2 YEARS,Neutered Male,Pit Bull,Gray / White,"Mar 01, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,FEDERAL WAY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724002,Image Copyright HLP Inc. 2025,"Received on: 2025-03-01<p/> Description: Gray / White Neutered Male Pit Bull Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $50<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Asher! I came to RASKC as a stray and now I'm looking for a new home.<p/><p/>My foster parents have done amazing in helping to boost my confidence. They said that once I got out of the shelter I am a social butterfly with loads of energy. I am a big cuddle bug and love to lay around with my people as well as my animal friends.<p/><p/>Speaking of animal friends: I am a dog social dog. I love to play around with my foster parents dogs. I am also very interested in playing with the resident cat, but him not so much. So I could do well in a household with cats that are dog savvy, but a slow introduction is always recommended.<p/><p/>My foster parents are stated that I am working on my crate training skills and am a champ at them!<p/><p/>I am 51.5lbs and am considered a medium sized dog. <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, but I am actually getting much better at them. I am looking for a family who understands that I might take some time to warm up but once I do, I will be the biggest thing in your heart.<p/>",
K25-176600,A724612,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2910963,LOST,Fikir,Dog,Over 1 year<p/>,Male,Havanese,White,"Feb 24, 2025",Date Lost,SE  188TH PL AND SE 192ND DR,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2910963,Image Copyright HLP Inc. 2025,"Description: He is a small havapoo. He is white with light brown ears. He has a brown spot on his left side and one at the base of his tail. He is wearing a black collar with a blue tag that has his name (Fikir) on one side and a phone number on the other side. <p/>Age: Over 1 year<p/>Location Lost: SE 188th Pl and SE 192nd Dr, Renton WA  98058<p/>Lost Date: 2025-02-24<p/>",
K25-175988,A723456,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2902227,LOST,Ozzy,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jan 29, 2025",Date Lost,NE  28th St & NE 27th St,Renton,,98056,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2902227,Image Copyright HLP Inc. 2025,"Description: Orange/while male cat pink nose, 12+lbs 3 years old<p/>Age: Over 1 year<p/>Location Lost: Ne 28th st and NE 27th st, Renton WA  98056<p/>Lost Date: 2025-01-29<p/>",
K24-171856,A716175,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Cheddar,Cat,1 YEAR,Neutered Male,Domestic Shorthair,Org Tabby,"Sep 13, 2024",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A716175,Image Copyright HLP Inc. 2025,"Received on: 2024-09-13<p/> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/>A716175 Cheddar (aka Dodge)<p/><p/>Cheddar`s behavior suggests an uncertain past before fostering. Initially shy and seemingly unfamiliar with home environments, he`s made remarkable progress in adjusting to domestic life.  It took weeks for him to become comfortable with the bed, starting with curious peeks.  Cheddar is now relaxed hanging out on the bed, usually resting at the foot. He`ll move closer when seeking attention, showing his growing comfort with human interaction and affection. Cheddar enjoys pets and belly rubs but is still hesitant about kisses and being picked up.<p/>Cheddar has a fondness for toys with fake fur and he is OBSESSED with the cat toy called Da Bird , a feather wand toy.  This toy has helped him become comfortable with humans.  He enthusiastically uses scratching posts and cat trees. Cheddar has been fostered with a kitten, Brie, (A717541) who is younger than him and they have somewhat bonded because of their playful nature in a foster home with older cats.   Because of his playful nature he will do best in a home with another cat of the same age or younger.<p/>Being fostered in a home with older cats Cheddar has learned when it is okay to approach them and when he needs to back off.  Cheddar has also been fostered in a home with an 80 lbs. cat friendly dog.  He is used to and okay with having his butt sniffed and comfortable being around the dog but no real interaction between them.  Cheddar has a cute trill sound when he is playing or investigating.  The only time Ive heard him cry is when I am getting his meals ready.  Obviously encouraging me to work faster.<p/>Cheddar will need a patient, understanding family willing to give him time to bond. The reward will be sharing life with an adorable, fun-loving cat who has already shown tremendous growth in his ability to trust and connect.<p/><p/>Please check Finding4everhomes on Instagram for more photos and videos of Cheddar.<p/>https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.instagram.com%2Freel%2FDGSShttRRoO%2F%3Futm_source%3Dig_web_copy_link&data=05%7C02%7Cchameleonsvc%40kingcounty.gov%7C6ea16b2437fd4df5262408dd51816875%7Cbae5059a76f049d7999672dfe95d69c7%7C0%7C0%7C638756338430899346%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=g0askBi47XnkYc17ZiezNucNEuj2TOyw2qjB%2FAHuGDM%3D&reserved=0<p/>",
K25-176069,A723702,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903571,In Public Home,,Dog,Under 1 year<p/>,Female,Bull Terrier,Black,"Feb 04, 2025",Date Found,PAC  HWY AND 252ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903571,Image Copyright HLP Inc. 2025,"Description: Approximately 10-12 weeks old.  No collar.  <p/>Age: Under 1 year<p/>Found Near: Pac Hwy and 252nd, Kent WA  98032<p/>Found Date: 2025-02-04<p/>",
K25-176664,A724750,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724750,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tallie,Cat,2 YEARS,Female,Domestic Shorthair,Gray Tabby / White,"Feb 28, 2025",Received on,28000 block of  150TH PL SE,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724750,Image Copyright HLP Inc. 2025,"Received on: 2025-02-28<p/> Found Near: 28000 block of  150TH PL SE<p/> Description: Gray Tabby / White Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176189,A723907,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905476,LOST,Chloe,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Feb 08, 2025",Date Lost,S  293rd Pl & 37th Pl S,King County,,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905476,Image Copyright HLP Inc. 2025,"Description: small, 6-7 pound tuxedo cat. <p/>Age: Over 1 year<p/>Location Lost: s 293 pl and 37 pl s, Auburn WA  98001<p/>Lost Date: 2025-02-08<p/>",
K24-174249,A719802,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Wishbone,Dog,4 YEARS 3 MONTHS,Neutered Male,Pit Bull,White,"Nov 09, 2024",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A719802,Image Copyright HLP Inc. 2025,"Received on: 2024-11-09<p/> Description: White Neutered Male Pit Bull Dog<p/> Age: 4 YEARS 3 MONTHS<p/> Adoption Fee: $100<p/> Current Location: In RASKC Foster Home <p/>Hello! My name is Wishbone. I came to RASKC as a stray and now I'm ready to find a new home! <p/><p/>I'm a sweet but low key boy who needs time to get to know people before I get affectionate. Nothing is known about my history but my behavior suggests I may not have been well socialized. This means that everyday experiences may frighten me more than the average pup. I will need a home that understands my shyness and is willing to go at my pace. <p/><p/>I've been very loving with the staff members who frequent my kennel and spend time with me - I like to put my big head in their lap and get those sweet, sweet ear rubs. I love chicken jerky treats and will be the bravest boy possible if it means I'll get one! I keep a clean kennel and am polite for leashing. Due to my size and fearfulness, I will be most likely to succeed in a teen/adult only home where my boundaries can be easily understood and respected. <p/><p/>I weigh 60lbs and am considered a large breed dog. I am currently underweight, my new family will want to work with their vet to help me get to the proper size. <p/><p/>I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",
K25-176150,A723867,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905118,LOST,Koda,Dog,Over 1 year<p/>,Male,Australian Cattle Dog,Black,"Feb 05, 2025",Date Lost,Milton  Way,Milton,,98354,MILTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905118,Image Copyright HLP Inc. 2025,"Description: Mostly black puppy. With shades of gray on body. 1 year old. <p/>Age: Over 1 year<p/>Location Lost: 5th Avenue, Milton, Milton WA  98354<p/>Lost Date: 2025-02-05<p/>",
K25-175986,A723447,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2902192,In Public Home,Derek,Dog,Over 1 year<p/>,Male,Alaskan Husky,Unknown,"Jan 30, 2025",Date Found,NE  44th St & Lake Washington Blvd N,Renton,,98056,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2902192,Image Copyright HLP Inc. 2025,"Description: White and Black Husky<p/>Age: Over 1 year<p/>Found Near: NE 44th St and Lake Washington BLVD NE, Renton WA  98056<p/>Found Date: 2025-01-30<p/>",
K25-176606,A724623,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911028,LOST,Fikir,Dog,Over 1 year<p/>,Male,Havanese,White,"Feb 24, 2025",Date Lost,17500 block of  SE 188TH PL,,,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911028,Image Copyright HLP Inc. 2025,"Description: Fikir is a small furry white dog. He has a few brown spots that are fading. The fur on his ears are light brown. He has a tear stain on his eye. His collar is black with a treat shaped tag that says “FIKIR” and has our phone number on the back.<p/>Age: Over 1 year<p/>Location Lost: 17563 SE 188th Pl, Renton WA  98058<p/>Lost Date: 2025-02-24<p/>",
K25-176692,A724782,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2912235,LOST,Sophia,Dog,Over 1 year<p/>,Female,Maltese,White,"Feb 28, 2025",Date Lost,JAMES  STREET & 64TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2912235,Image Copyright HLP Inc. 2025,"<p/>Age: Over 1 year<p/>Location Lost: James street & 64th street , Kent WA  98032<p/>Lost Date: 2025-02-28<p/>",
